GeoFips,GeoName,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39145,"Scioto, OH",1148649,1199369,1257157,1315324,1383584,1460590,1515145,1549401,1602947,1670076,1705729,1756972,1845965,1871823,1947637,2068790,2191274,2223543,2283418,2357925,2394118,2444759,2579865,2764016,2694374,2781364,2910726,3023046,3221394,3355544
39147,"Seneca, OH",1051081,1069770,1101629,1118811,1195004,1271862,1302128,1330169,1382666,1426148,1440601,1491017,1529477,1543125,1604531,1653548,1678661,1663609,1720548,1837634,1831389,1829267,1870648,1982236,2045668,2082043,2136318,2216854,2447582,2633731
39149,"Shelby, OH",886365,904076,960518,1005689,1060715,1135197,1183306,1195671,1261036,1267421,1288594,1343558,1443250,1479845,1549710,1589154,1640043,1564375,1634461,1793615,1838206,1933101,1977395,2007703,2044207,2110192,2163969,2189337,2358722,2500754
39151,"Stark, OH",7115715,7429708,7829449,8193975,8521994,8859335,9485958,9735738,10290296,10409612,10553320,10852703,11174715,11520287,11987056,12585951,13023301,12565575,12934288,13778311,14305380,14459024,14987544,15507083,15456120,15982687,16486711,17013363,18344095,19814175
39153,"Summit, OH",10956302,11409550,12086225,12845038,13541205,14269379,15182554,15653302,16595801,16846586,17051035,17731003,18440464,18786240,19427538,20458966,21515577,20769309,21206094,22099725,22780976,23145677,24176963,24903790,25377788,26325496,27419179,28441506,30427426,32802654
39155,"Trumbull, OH",4283396,4414637,4685630,4843803,5062341,5241264,5372506,5493770,5597811,5704684,5785101,5941744,6077186,6158702,6477573,6601343,6693454,6375289,6554385,6998577,7139678,7130647,7326886,7553963,7643041,7829334,8033376,8055609,8704390,9222182
39157,"Tuscarawas, OH",1424965,1470808,1584068,1658675,1756864,1844780,1950244,1999034,2080521,2233077,2284264,2376400,2498269,2589618,2723882,2843776,2983240,2869210,2996121,3245514,3297625,3395457,3590356,3706406,3688603,3826062,4009032,4033624,4286626,4687955
39159,"Union, OH",686084,717477,778911,806380,861384,915673,946590,1013953,1096098,1196511,1245187,1291818,1369145,1474485,1578011,1718908,1839888,1808883,1864264,2043621,2156246,2323506,2445163,2556157,2719630,3059218,3378997,3560084,3927410,4354531
39161,"Van Wert, OH",536112,546416,582840,588612,624628,670048,694572,713816,743917,741469,717890,753087,803721,808175,849411,875305,901312,887018,922867,984629,994054,1041176,1061145,1056150,1092407,1136501,1187966,1198509,1324041,1437587
39163,"Vinton, OH",151370,159215,169004,175728,184100,191619,202630,212169,223025,243911,261834,265632,274857,289714,292766,318689,332729,339451,347040,365823,383107,371488,392955,399175,407582,423501,439970,451244,502894,519118
39165,"Warren, OH",2447668,2642398,2871633,3080558,3362019,3771691,4166448,4534366,4982083,5375760,5628400,5962687,6597232,7177790,7802149,8355521,9008196,8949390,9330402,9957451,10512041,10832274,11388572,11897897,12643812,13387327,13979092,14956913,16113399,17396442
39167,"Washington, OH",1062063,1097085,1156992,1200059,1258763,1337948,1374910,1393556,1433069,1532652,1600593,1592964,1609128,1650594,1746533,1848738,1959501,1917729,1962007,2090558,2166201,2200521,2308737,2388219,2370361,2439796,2581873,2651297,2785849,2993436
39169,"Wayne, OH",1873716,1978497,2128474,2220828,2311165,2432110,2574454,2611081,2700445,2924917,2958723,3006466,3198776,3268876,3371280,3492857,3726296,3550623,3714007,4012233,4104458,4275222,4499617,4620999,4680863,4923115,5152170,5330534,5718570,6169368
39171,"Williams, OH",699190,744662,803600,825808,847592,903821,928425,942499,974824,988182,994937,1020667,1046899,1066988,1102894,1154960,1207941,1157869,1196477,1268514,1278313,1302785,1346800,1391929,1415271,1451029,1506374,1571262,1665352,1792734
39173,"Wood, OH",2298217,2400750,2539914,2658839,2829703,3005001,3160005,3216835,3344137,3446920,3492054,3613519,3828837,3989663,4276533,4570819,4839214,4645034,4793076,4954882,5077035,5183160,5388063,5600078,5723381,5874191,6130001,6277067,6771671,7209158
39175,"Wyandot, OH",370049,384634,410857,435108,462557,496471,510549,515611,552090,590467,603574,647328,686780,671164,676088,697844,720857,717692,735916,809883,818118,855263,861072,864326,887949,923317,976155,1004046,1096766,1188713
